word,count
,508
malaysia,300
check,264
shopee,258
pm,215
bam,193
covid,190
form,181
johor,178
"""""",175
bamalaysia,165
mahathir,146
time,143
singapore,141
org,141
day,138
dgn,136
kau,134
malaysias,134
mcm,133
top,133
ya,128
fmtnews,125
people,121
thank,119
jia,118
tengok,117
country,116
zii,115
love,115
masuk,113
allah,111
pn,106
please,105
malaysian,103
lee,102
bahasa,101
nk,98
berita,97
world,97
utk,94
badminton,93
korea,92
rasuah,92
maju,90
lzj,89
tangkapazambaki,88
news,84
th,83
keluarga,83
msuppasit,83
main,82
live,82
semoga,80
azam,80
via,78
travel,76
tau,75
bodoh,75
melayu,74
sbb,74
malaysiagazette,73
benda,73
tour,73
mmg,73
januari,70
japan,70
dlm,69
duit,68
terima,67
indo,67
takde,66
baki,66
enhypen,66
mohamad,65
final,65
countries,62
thats,62
malu,61
nama,61
suka,61
video,61
tp,61
cant,61
free,60
support,60
watch,60
kt,60
hope,60
house,60
salah,59
soon,59
help,59
pakai,58
hi,58
oh,58
happy,56
national,56
korup,56
youtube,55
cakap,55
pasal,55
pemain,55
pon,55
ml,55
dh,54
tradingview,54
power,54
btstwt,53
kasih,53
nya,53
set,53
vs,53
mewsuppasit,53
master,53
corruption,52
account,52
team,52
gila,52
international,51
aja,50
change,50
minister,50
pergi,50
before,50
nampak,49
pas,49
level,49
st,49
tgk,49
kl,49
philippines,49
government,49
life,48
muda,48
youre,48
habis,48
duduk,48
teruk,48
stay,48
makan,47
look,47
de,47
offm,47
ga,47
ok,47
atlet,47
eh,46
awani,46
ko,46
sikit,45
vietnam,45
january,45
jom,45
lol,45
wei,45
ph,44
baca,44
cari,44
kalo,44
link,43
home,43
twitter,43
hati,43
bts,43
daily,43
music,43
dkt,42
sgt,42
fam,42
event,42
low,41
gak,41
politics,41
political,40
online,40
family,40
yes,40
korupsi,40
skrg,40
dm,40
mundur,40
tv,40
south,40
brunei,40
pulak,40
postage,40
menang,40
ib,40
money,40
join,39
game,39
